1675614930.490615,0.37
1675614931.0106647,0.37
1675614931.5309002,0.39
1675614932.0511398,0.39
1675614932.5712771,0.39
1675614933.0914347,0.38
1675614933.6116014,0.4
1675614934.1316514,0.38
1675614934.6519358,0.4
1675614935.1716428,0.39
1675614935.6917653,0.39
1675614936.2122495,0.39
1675614936.7326648,0.4
1675614937.2527332,0.39
1675614937.7729168,0.38
1675614938.2931156,0.38
1675614938.8133132,0.39
1675614939.333216,0.38
1675614939.8536463,0.38
1675614940.3737373,0.4
1675614940.8939786,0.39
1675614941.4140992,0.39
1675614941.9342334,0.39
1675614942.4542623,0.38
1675614942.97457,0.38
1675614943.4947019,0.39
1675614944.0149071,0.47
1675614944.5350533,0.48
1675614945.0551834,0.51
1675614945.5753818,0.5
1675614946.0956144,0.51
1675614946.6155987,0.51
1675614947.1359494,0.5
1675614947.6557293,0.51
1675614948.1762857,0.51
1675614948.6960008,0.5
1675614949.216617,0.5
1675614949.7366285,0.51
1675614950.2569506,0.5
1675614950.7770064,0.51
1675614951.2972503,0.51
1675614951.8173635,0.51
1675614952.3375983,0.51
1675614952.8577123,0.51
1675614953.377916,0.51
1675614953.8980503,0.5
1675614954.4182503,0.5
1675614954.9383066,0.5
1675614955.4585783,0.5
1675614955.9787197,0.52
1675614956.4989204,0.54
1675614957.0191107,0.53
1675614957.539252,0.53
1675614958.059422,0.53
1675614958.5795698,0.53
1675614959.0997257,0.48
1675614959.6198525,0.46
1675614960.1395752,0.49
1675614960.6602342,0.46
1675614961.1800187,0.49
1675614961.7005575,0.45
1675614962.220602,0.46
1675614962.740885,0.47
1675614963.2609537,0.46
1675614963.7812047,0.47
1675614964.3012676,0.46
1675614964.821555,0.47
1675614965.34165,0.45
1675614965.861864,0.47
1675614966.3820007,0.46
1675614966.9017262,0.3
1675614967.4223456,0.21
1675614967.942448,0.21
1675614968.4626849,0.22
1675614968.9824274,0.3
1675614969.5030403,0.38
1675614970.023193,0.39
1675614970.543397,0.38
1675614971.0635154,0.38
1675614971.583704,0.37
1675614972.1038568,0.37
1675614972.6237323,0.38
1675614973.1440291,0.38
1675614973.663845,0.38
1675614974.1844952,0.38
1675614974.7044792,0.38
1675614975.2248633,0.38
1675614975.7448988,0.37
1675614976.2651002,0.39
1675614976.7852352,0.38
1675614977.3054616,0.38
1675614977.8255453,0.38
1675614978.345738,0.38
1675614978.8659205,0.38
1675614979.3861253,0.37
1675614979.9062917,0.37
1675614980.4264548,0.38
1675614980.9466174,0.38
1675614981.4666839,0.38
1675614981.9869673,0.39
1675614982.5071292,0.37
1675614983.027345,0.38
1675614983.547451,0.38
1675614984.0676396,0.38
1675614984.5876656,0.37
1675614985.1076825,0.38
1675614985.6281087,0.38
1675614986.148134,0.36
1675614986.6679559,0.37
1675614987.1884694,0.37
1675614987.7087564,0.37
1675614988.2288241,0.37
1675614988.7490926,0.38
1675614989.2692044,0.37
1675614989.7894292,0.38
1675614990.3088973,0.37
1675614990.8296852,0.21
1675614991.349875,0.22
1675614991.8700757,0.21
1675614992.390221,0.2
1675614992.9104328,0.21
1675614993.4299715,0.21
1675614993.9507189,0.22
1675614994.4707625,0.23
1675614994.9910758,0.22
1675614995.5112505,0.23
1675614996.0310574,0.22
1675614996.5515797,0.22
1675614997.0716717,0.22
1675614997.5917237,0.21
1675614998.1120353,0.22
1675614998.6317093,0.22
1675614999.152424,0.28
1675614999.672416,0.39
1675615000.1927116,0.39
1675615000.7127666,0.4
1675615001.2325268,0.4
1675615001.7531166,0.4
1675615002.272931,0.32
1675615002.7934759,0.22
1675615003.3137262,0.39
1675615003.8338134,0.4
1675615004.3540146,0.39
1675615004.8741372,0.21
1675615005.3944366,0.21
1675615005.9144962,0.24
1675615006.4347126,0.42
1675615006.9548619,0.42
1675615007.475044,0.35
1675615007.9951777,0.42
1675615008.5153723,0.34
1675615009.0355425,0.25
1675615009.555695,0.4
1675615010.075718,0.39
1675615010.596029,0.39
1675615011.1157372,0.41
1675615011.6362529,0.33
1675615012.1560032,0.4
1675615012.676657,0.4
